standard_id,alias,name,version,category,purpose,status,standard_type,designation,inherits_from,implemented_by,related_standards,supersedes,implementation_status,updated_at,empty_fields
QRU-CON-0001,,QRU Factory™ Constitution,1.0,Enterprise Standards™,"Provide a single protected authority binding every agent, workflow, interface, quality gate, and manufacturing pipeline to the QRU mission and values.",Active,,,,,STD-00001;STD-00005;STD-00003;STD-00016,,Implemented,2026-07-10T23:52:13.045120+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
QRU-CON-0002,,QRU Enterprise Publishing & Presentation Standard™,1.0,Publishing / Design Governance,Every QRU product looks professionally published and communicates manufactured understanding.,Active,,,,,QRU-CON-0001,,,,alias;standard_type;designation;inherits_from;implemented_by;supersedes;implementation_status;updated_at
STD-00001,,Treasure Standard™,1.0,Treasure Standard™,"Guarantee that nothing leaves QRU unless it is true, understandable, useful, complete, beautiful, memorable, and on-brand.",Active,,,,,STD-00002;STD-00008;STD-00010,,Implemented,2026-07-03T12:28:34.242375+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00002,,The One Question Test™,1.0,Enterprise Standards™,Keep the enterprise focused: no feature exists without a clear business reason.,Active,,,,,STD-00013,,Implemented,2026-07-03T12:28:34.242380+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00003,,QRU Brand Operating System™ (QBOS),1.0,Brand Standards™,Ensure visual consistency and premium brand quality across all products and platforms.,Active,,,,,STD-00016;STD-00006,,Implemented,2026-07-03T12:28:34.242385+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00004,,QRU Educational Design System™ (QEDS),1.0,Educational Methodologies™,Ensure every product teaches effectively across child/consumer/student/professional/scientific modes.,Active,,,,,STD-00007,,Implemented,2026-07-03T12:28:34.242389+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00005,,QRU Master Constitution™,1.0,Enterprise Standards™,"Provide a single, protected authority for QRU's laws, mission, and values.",Active,Enterprise Constitution,Canonical Knowledge Standard,,STD-UKR-0001,STD-00001;STD-00002,,Implemented,2026-07-24T23:24:28.458132+00:00,alias;inherits_from;supersedes
STD-00006,,Workforce Identity System™ / Character Bible™,1.0,Character Bible™,"Guarantee visual, personality, and educational consistency of QRU characters across all products and generations.",Active,,,,,STD-00003,,Implemented,2026-07-03T12:28:34.242399+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00007,,QRU Teaching Methodology™ (11-part),1.0,Educational Methodologies™,Make complex truth understandable without simplifying the truth itself.,Active,,,,,STD-00004,,Implemented,2026-07-03T12:28:34.242402+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00008,,Verification Principles™ (Kingdom Lion™),1.0,Verification Principles™,Protect QRU's credibility — understanding is worthless if it is wrong.,Active,,,,,STD-00001,,Implemented,2026-07-03T12:28:34.242407+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00009,,Manufacturing Recipes™,1.0,Product Recipes™,"Assemble products from verified fields consistently — research once, manufacture forever.",Active,,,,,STD-00010,,Implemented,2026-07-03T12:28:34.242411+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00010,,The QRU Thinking Model™ (8-point),1.0,Manufacturing Principles™,A single mental checklist that encodes QRU quality into every AI generation prompt.,Active,,,,,STD-00001,,Implemented,2026-07-03T12:28:34.242415+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00011,,Hands-Free Manufacturing™ / Automation Rules™,1.0,Automation Rules™,Scale production while keeping the Founder in control of exceptions only.,Active,,,,,STD-00009,,Implemented,2026-07-03T12:28:34.242420+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00012,,Multi-Format Output™ Standards,1.0,Publishing Standards™,Publish one verified product to every platform without losing brand fidelity.,Active,,,,,STD-00003,,Implemented,2026-07-03T12:28:34.242423+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00013,,Software Architecture™ (Modular Routers),1.0,Software Architecture™,"Keep the platform scalable, testable, and production-ready.",Active,,,,,STD-00014,,Implemented,2026-07-03T12:28:34.242427+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00014,,Database Architecture™ (MongoDB),1.0,Database Architecture™,"Reliable, JSON-safe persistence across the enterprise.",Active,,,,,STD-00013,,Implemented,2026-07-03T12:28:34.242430+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00015,,Extend Before Expand™,1.0,Leadership Principles™,Prevent sprawl and keep the enterprise coherent as it grows.,Active,,,,,STD-00002,,Implemented,2026-07-03T12:28:34.242434+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00016,,QRU Design Language™ / Creative Standards™,1.0,Creative Standards™,Compound design quality so every product is more beautiful than the last.,Active,,,,,STD-00003,,Implemented,2026-07-03T12:28:34.242438+00:00,alias;standard_type;designation;inherits_from;implemented_by;supersedes
STD-00017,,Agent Training Guide,1.0,Agent Governance & Training™,of the QRU Agent Training Protocol™,Active,,,,,,,Implemented,2026-07-10T02:21:25.998170+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
